Indicator.Code,Indicator.Name
sg_vaw_argu_zs,Women who believe a husband is justified in beating his wife when she argues with him (%)
sg_vaw_burn_zs,Women who believe a husband is justified in beating his wife when she burns the food (%)
sg_vaw_goes_zs,Women who believe a husband is justified in beating his wife when she goes out without telling him (%)
sg_vaw_negl_zs,Women who believe a husband is justified in beating his wife when she neglects the children (%)
sg_vaw_reas_zs,Women who believe a husband is justified in beating his wife (any of five reasons) (%)
sg_vaw_refu_zs,Women who believe a husband is justified in beating his wife when she refuses sex with him (%)
sh_anm_nprg_zs,Prevalence of anemia among non-pregnant women (% of women ages 15-49)
sh_con_1524_fe_zs,"Condom use, population ages 15-24, female (% of females ages 15-24)"
sh_con_1524_ma_zs,"Condom use, population ages 15-24, male (% of males ages 15-24)"
sh_dth_imrt,Number of infant deaths
sh_dth_mort,Number of under-five deaths
sh_dth_nmrt,Number of neonatal deaths
sh_dyn_aids_fe_zs,Women's share of population ages 15+ living with HIV (%)
sh_dyn_aids_zs,"Prevalence of HIV, total (% of population ages 15-49)"
sh_dyn_mort,"Mortality rate, under-5 (per 1,000 live births)"
sh_dyn_mort_fe,"Mortality rate, under-5, female (per 1,000)"
sh_dyn_mort_ma,"Mortality rate, under-5, male (per 1,000)"
sh_dyn_nmrt,"Mortality rate, neonatal (per 1,000 live births)"
sh_hiv_0014,Children (0-14) living with HIV
sh_hiv_1524_fe_zs,"Prevalence of HIV, female (% ages 15-24)"
sh_hiv_1524_ma_zs,"Prevalence of HIV, male (% ages 15-24)"
sh_hiv_artc_zs,Antiretroviral therapy coverage (% of people living with HIV)
sh_imm_idpt,"Immunization, DPT (% of children ages 12-23 months)"
sh_imm_meas,"Immunization, measles (% of children ages 12-23 months)"
sh_med_beds_zs,"Hospital beds (per 1,000 people)"
sh_med_cmhw_p3,"Community health workers (per 1,000 people)"
sh_med_numw_p3,"Nurses and midwives (per 1,000 people)"
sh_med_phys_zs,"Physicians (per 1,000 people)"
sh_mlr_nets_zs,Use of insecticide-treated bed nets (% of under-5 population)
sh_mlr_tret_zs,Children with fever receiving antimalarial drugs (% of children under age 5 with fever)
sh_mmr_dths,Number of maternal deaths
sh_mmr_risk,Lifetime risk of maternal death (1 in: rate varies by country)
sh_mmr_risk_zs,Lifetime risk of maternal death (%)
sh_prg_anem,Prevalence of anemia among pregnant women (%)
sh_prv_smok_fe,"Smoking prevalence, females (% of adults)"
sh_prv_smok_ma,"Smoking prevalence, males (% of adults)"
sh_sta_acsn,Improved sanitation facilities (% of population with access)
sh_sta_acsn_ru,"Improved sanitation facilities, rural (% of rural population with access)"
sh_sta_acsn_ur,"Improved sanitation facilities, urban (% of urban population with access)"
sh_sta_anvc_zs,Pregnant women receiving prenatal care (%)
sh_sta_aric_zs,ARI treatment (% of children under 5 taken to a health provider)
sh_sta_bfed_zs,Exclusive breastfeeding (% of children under 6 months)
sh_sta_brtc_zs,Births attended by skilled health staff (% of total)
sh_sta_brtw_zs,Low-birthweight babies (% of births)
